Date,Steps
10/8/12,7337
10/9/12,4375
10/10/12,6395
10/11/12,6236
10/12/12,6190
10/13/12,3840
10/14/12,3516
10/15/12,5711
10/16/12,6850
10/17/12,4081
10/18/12,6057
10/19/12,7683
10/20/12,8180
10/21/12,3117
10/22/12,9210
10/23/12,3709
10/24/12,10433
10/25/12,8778
10/26/12,5016
10/27/12,6
10/28/12,5827
10/29/12,8051
10/30/12,7669
10/31/12,6812
11/1/12,8716
11/2/12,5076
11/3/12,8117
11/4/12,4722
11/5/12,7691
11/6/12,3929
11/7/12,2300
11/8/12,9472
11/9/12,3128
11/10/12,1585
11/11/12,21
11/12/12,4401
11/13/12,6439
11/14/12,9696
11/15/12,10023
11/16/12,7038
11/17/12,12616
11/18/12,6037
11/19/12,13135
11/20/12,7122
11/21/12,10024
11/22/12,12014
11/23/12,5103
11/24/12,13702
11/25/12,4441
11/26/12,14374
11/27/12,4504
11/28/12,14739
11/29/12,7006
11/30/12,2192
12/1/12,7059
12/2/12,8046
12/3/12,11588
12/4/12,3182
12/5/12,15573
12/6/12,5746
12/7/12,3158
12/8/12,5466
12/9/12,3114
12/10/12,6230
12/11/12,4445
12/12/12,11143
12/13/12,3820
12/14/12,3442
12/15/12,6014
12/16/12,3184
12/17/12,7075
12/18/12,7402
12/19/12,5252
12/20/12,6017
12/21/12,6178
12/22/12,3409
12/23/12,6002
12/24/12,5249
12/25/12,3388
12/26/12,4790
12/27/12,4978
12/28/12,11029
12/29/12,3234
12/30/12,3818
12/31/12,840
1/1/13,2205
1/2/13,11102
1/3/13,6466
1/4/13,7415
1/5/13,12539
1/6/13,3468
1/7/13,13115
1/8/13,7089
1/9/13,10584
1/10/13,3784
1/11/13,11007
1/12/13,1629
1/13/13,4430
1/14/13,12336
1/15/13,5057
1/16/13,11117
1/17/13,3615
1/18/13,0
1/19/13,18056
1/20/13,3118
1/21/13,3280
1/22/13,11484
1/23/13,5483
1/24/13,4625
1/25/13,7123
1/26/13,16016
1/27/13,3526
1/28/13,3092
1/29/13,12759
1/30/13,5208
1/31/13,5238
2/1/13,12474
2/2/13,1692
2/3/13,17056
2/4/13,7032
2/5/13,7075
2/6/13,6532
2/7/13,2926
2/8/13,8382
2/9/13,14413
2/10/13,20019
2/11/13,3221
2/12/13,7436
2/13/13,0
2/14/13,0
2/15/13,11021
2/16/13,13467
2/17/13,3662
2/18/13,23019
2/19/13,6011
2/20/13,5234
2/21/13,4764
2/22/13,11836
2/23/13,4020
2/24/13,3978
2/25/13,3854
2/26/13,11431
2/27/13,4810
2/28/13,10582
3/1/13,4933
3/2/13,3120
3/3/13,4092
3/4/13,5047
3/5/13,4343
3/6/13,10578
3/7/13,16319
3/8/13,2653
3/9/13,7837
3/10/13,29126
3/11/13,6017
3/12/13,6030
3/13/13,8506
3/14/13,2052
3/15/13,7090
3/16/13,7526
3/17/13,5024
3/18/13,4472
3/19/13,7039
3/20/13,9056
3/21/13,9597
3/22/13,21847
3/23/13,11688
3/24/13,11112
3/25/13,8083
3/26/13,7006
3/27/13,5583
3/28/13,7095
3/29/13,13247
3/30/13,6203
3/31/13,2533
4/1/13,7072
4/2/13,6000
4/3/13,10031
4/4/13,3300
4/5/13,4352
4/6/13,12073
4/7/13,6037
4/8/13,2646
4/9/13,10100
4/10/13,10108
4/11/13,3391
4/12/13,11015
4/13/13,13498
4/14/13,7019
4/15/13,7903
4/16/13,5754
4/17/13,3019
4/18/13,2833
4/19/13,3720
4/20/13,9386
4/21/13,7025
4/22/13,8547
4/23/13,5633
4/24/13,4216
4/25/13,5923
4/26/13,4607
4/27/13,4607
4/28/13,2399
4/29/13,4464
4/30/13,5530
5/1/13,3163
5/2/13,7477
5/3/13,3687
5/4/13,11999
5/5/13,5787
5/6/13,9184
5/7/13,8068
5/8/13,3701
5/9/13,11111
5/10/13,7035
5/11/13,8771
5/12/13,8302
5/13/13,3380
5/14/13,2805
5/15/13,8143
5/16/13,12071
5/17/13,5354
5/18/13,5437
5/19/13,3339
5/20/13,3925
5/21/13,9491
5/22/13,7446
5/23/13,5821
5/24/13,6956
5/25/13,19670
5/26/13,6925
5/27/13,3308
5/28/13,5686
5/29/13,9726
5/30/13,7041
5/31/13,6019
6/1/13,6760
6/2/13,12701
6/3/13,13652
6/4/13,3859
6/5/13,6580
6/6/13,10512
6/7/13,7537
6/8/13,21547
6/9/13,11584
6/10/13,4680
6/11/13,4239
6/12/13,7361
6/13/13,7041
6/14/13,5373
6/15/13,5230
6/16/13,10347
6/17/13,9459
6/18/13,9063
6/19/13,4591
6/20/13,12853
6/21/13,8072
6/22/13,8725
6/23/13,8229
6/24/13,11587
