date,steps,distance
2/28/11,12687,0
3/1/11,8023,0
3/2/11,7834,0
3/3/11,20059,0
3/4/11,10436,0
3/5/11,10665,0
3/6/11,10386,0
3/7/11,19047,0
3/8/11,15227,0
3/9/11,12261,0
3/10/11,16648,0
3/11/11,10599,0
3/12/11,13307,0
3/13/11,10133,0
3/14/11,11770,0
3/15/11,12214,0
3/16/11,15556,0
3/17/11,10046,0
3/18/11,14030,0
3/19/11,6318,0
3/20/11,10014,0
3/21/11,12613,0
3/22/11,11764,0
3/23/11,25237,0
3/24/11,10827,0
3/25/11,5777,0
3/26/11,17143,0
3/27/11,12577,0
3/28/11,19299,0
3/29/11,15947,0
3/30/11,22210,0
3/31/11,6009,0
4/1/11,22418,0
4/2/11,12762,0
4/3/11,12185,0
4/4/11,9352,0
4/5/11,11154,0
4/6/11,13494,0
4/7/11,13206,0
4/8/11,10258,0
4/9/11,18223,0
4/10/11,9904,0
4/11/11,12743,0
4/12/11,116,0
4/13/11,15511,0
4/14/11,23035,0
4/15/11,17045,0
4/16/11,13914,0
4/17/11,14811,0
4/18/11,15864,0
4/19/11,21551,0
4/20/11,23972,0
4/21/11,21347,0
4/22/11,22728,0
4/23/11,22522,0
4/24/11,13241,0
4/25/11,12190,0
4/26/11,29953,0
4/27/11,7437,0
4/28/11,19272,0
4/29/11,12341,0
4/30/11,6584,0
5/1/11,12115,0
5/2/11,17761,0
5/3/11,4371,0
5/4/11,13193,0
5/5/11,6305,0
5/6/11,9554,0
5/7/11,6979,0
5/8/11,6303,0
5/9/11,4097,0
5/10/11,15154,0
5/11/11,1538,0
5/12/11,15552,0
5/13/11,17278,0
5/14/11,10793,0
5/15/11,16216,0
5/16/11,13641,0
5/17/11,15370,0
5/18/11,19063,0
5/19/11,11328,0
5/20/11,18545,0
5/21/11,12908,0
5/22/11,18708,0
5/23/11,10438,0
5/24/11,10439,0
5/25/11,6155,0
5/26/11,27679,0
5/27/11,7343,0
5/28/11,9893,0
5/29/11,12129,0
5/30/11,11331,0
5/31/11,10798,0
6/1/11,11716,0
6/2/11,25538,0
6/3/11,6351,0
6/4/11,7241,0
6/5/11,10363,0
6/6/11,14263,0
6/7/11,30292,0
6/8/11,10234,0
6/9/11,14622,0
6/10/11,12342,0
6/11/11,7140,0
6/12/11,24357,0
6/13/11,17524,0
6/14/11,9945,0
6/15/11,16638,0
6/16/11,6886,0
6/17/11,18330,0
6/18/11,12599,0
