date,steps,distance
5/15/13,4827,8.720928
5/16/13,7373,56.930542
5/17/13,30,0.00932055
5/18/13,855,63.4251
5/19/13,1890,23.28087
5/20/13,5155,25.609142
5/21/13,4272,28.095245
5/22/13,7125,402.05872
5/23/13,9820,367.10727
5/24/13,2977,39.603016
5/25/13,12491,44.597588
5/26/13,10286,45.26121
5/27/13,5817,6.465976
5/28/13,6431,31.400312
5/29/13,8329,63.007538
5/30/13,8091,281.3464
5/31/13,5486,18.252123
6/1/13,6519,41.0651
6/2/13,5854,106.21699
6/3/13,5716,443.04178
6/4/13,2551,1.2924496
6/5/13,2596,308.5214
6/6/13,3686,8.278513
6/7/13,8005,11.08959
6/8/13,18354,67.174446
6/9/13,6458,24.686409
6/10/13,9294,17.026781
6/11/13,5041,57.04363
6/12/13,3406,1.484453
6/13/13,4409,22.513477
6/14/13,1227,5.088399
6/15/13,2291,17.287756
6/16/13,4108,35.525585
6/17/13,8920,5.4369874
6/18/13,5578,2.2046208
6/19/13,13839,388.68805
6/20/13,8839,11.20268
6/21/13,7244,321.87463
6/22/13,14525,128.83734
6/23/13,6489,70.83431
6/24/13,7185,20.540628
6/25/13,4014,381.9748
6/26/13,6967,7.0388794
6/27/13,7516,35.20558
6/28/13,6384,425.1227
6/29/13,9814,56.520435
6/30/13,11568,43.267235
7/1/13,8589,70.64853
7/2/13,7931,11.794224
7/3/13,7111,34.080902
7/4/13,8816,35.326748
7/5/13,3372,49.674805
7/6/13,15882,93.01847
7/7/13,3331,69.53255
7/8/13,13495,52.103737
7/9/13,2755,364.16693
7/10/13,13936,394.00388
7/11/13,7190,15.255877
7/12/13,12248,45.789375
7/13/13,8042,41.88469
7/14/13,2555,32.201878
7/15/13,10443,45.54083
7/16/13,8122,8.949592
7/17/13,8183,3.7779295
7/18/13,10492,13.992631
7/19/13,6805,3.2603283
7/20/13,7843,86.36857
7/21/13,131,2.9434297
7/22/13,12636,53.366364
7/23/13,2403,362.8316
7/24/13,1121,91.648346
7/25/13,5792,40.26726
7/26/13,21682,404.6523
7/27/13,3163,58.30874
7/28/13,9063,56.563934
7/29/13,3811,63.40335
7/30/13,2985,33.650913
7/31/13,4044,1.9442667
8/1/13,7409,11.917255
8/2/13,2753,30.106619
8/3/13,15069,63.758156
8/4/13,10668,51.499767
8/5/13,5791,12.623132
8/6/13,6470,357.96008
8/7/13,8670,33.242672
8/8/13,8587,361.39502
8/9/13,2883,1.2967992
8/10/13,8562,39.24635
8/11/13,6897,256.7563
8/12/13,15780,59.971527
8/13/13,4891,10.868382
8/14/13,7690,20.371616
8/15/13,15427,8.591062
8/16/13,9413,9.522495
8/17/13,5809,13.415379
8/18/13,15611,82.92307
8/19/13,21439,91.96525
8/20/13,8522,62.480618
8/21/13,14756,50.078693
8/23/13,6829,71.763885
8/24/13,3388,1048.1418
8/25/13,7186,1741.1738
8/26/13,7640,5.014456
8/27/13,1114,0.49461052
8/28/13,6980,4.8081613
8/29/13,4538,1.7572343
8/30/13,8006,3.1907349
8/31/13,7515,18.721878
9/1/13,2617,43.121212
9/2/13,15052,55.09315
9/3/13,5655,372.43863
9/4/13,223,0.09072002
9/5/13,4354,360.42566
9/6/13,2234,4.944241
9/7/13,6147,18.687702
9/8/13,2650,4.0538177
9/9/13,15053,50.652218
9/10/13,7211,369.78412
9/11/13,5441,3.281455
9/12/13,10834,364.2819
9/13/13,12011,14.620836
9/14/13,11089,161.33748
9/15/13,4352,143.296
9/16/13,22243,48.628418
9/17/13,2595,415.0913
9/18/13,8954,399.09164
9/19/13,1634,149.08282
9/20/13,15425,214.40123
9/21/13,2735,16.953459
9/22/13,682,2.1120367
9/23/13,8661,4.0867505
9/24/13,1500,328.84268
9/25/13,7332,37.138664
9/26/13,4852,69.13363
9/27/13,8604,4.130868
9/28/13,4140,408.5545
9/29/13,13405,156.10492
9/30/13,3315,223.27254
10/1/13,2765,1.0426588
10/2/13,2399,396.613
10/3/13,7702,399.27933
10/4/13,4316,1.8864794
10/5/13,4156,451.1749
10/6/13,4081,20.974344
10/7/13,4390,439.76218
10/8/13,2185,395.65237
10/9/13,6399,21.559675
10/10/13,9035,4.2737827
10/11/13,5629,53.171875
10/12/13,5012,408.69058
10/13/13,7996,26.054045
10/14/13,10572,94.78067
10/15/13,11902,63.174065
10/16/13,6432,71.09529
10/17/13,2822,9.772286
10/18/13,2370,1.017804
10/19/13,8814,102.86718
10/20/13,4250,47.112274
10/21/13,4180,9.083187
10/22/13,3233,1.4117526
10/23/13,610,0.21872224
10/24/13,4905,58.24474
10/25/13,5128,13.110286
10/26/13,7542,491.24146
10/27/13,3076,45.057404
10/28/13,2404,433.12036
10/29/13,2486,407.1962
10/30/13,1643,394.327
10/31/13,2450,4.9100657
11/1/13,5404,6.838798
11/2/13,8368,45.364983
11/3/13,9221,30.80566
11/4/13,4394,2.0449288
11/5/13,2576,397.4183
11/6/13,8160,41.27761
11/7/13,3405,409.41263
11/8/13,1549,2.6756191
11/9/13,4096,17.093267
11/10/13,7914,69.28462
11/11/13,9368,8.317038
11/12/13,8236,5.8632474
11/13/13,9068,62.9889
11/14/13,8520,16.560753
11/15/13,3486,11.208272
11/16/13,14400,49.525673
11/17/13,9705,83.125015
11/18/13,8921,13.790686
11/19/13,10607,11.021239
11/20/13,1791,400.852
11/21/13,9342,48.48488
11/22/13,7279,407.76724
11/23/13,27157,105.66645
11/24/13,13781,74.63834
11/25/13,6668,22.199686
11/26/13,1760,76.33157
11/27/13,1721,53.581978
11/28/13,3408,12.598898
11/29/13,4096,88.539635
11/30/13,11186,60.896744
12/1/13,9949,18.845531
12/2/13,9025,13.196656
12/3/13,11030,23.908453
12/4/13,1880,0.8947728
12/5/13,10457,7.8336115
12/6/13,6416,12.097452
12/7/13,6329,461.3088
12/8/13,12725,480.32336
12/9/13,9389,22.535225
12/10/13,3328,413.80383
12/11/13,6520,18.565914
12/12/13,13382,404.33044
12/13/13,1945,21.370779
12/14/13,11964,44.990917
12/15/13,17032,79.24891
12/16/13,1936,0.8730248
12/17/13,4192,410.44223
12/18/13,8077,417.83652
12/19/13,3488,4.8125105
12/20/13,13515,10.511095
12/21/13,15859,30.516724
12/22/13,1825,18.118528
12/23/13,3291,8.202705
12/24/13,3773,445.68448
12/25/13,2239,20.774263
12/26/13,2471,439.48257
12/27/13,324,0.1304877
12/28/13,5348,24.824352
12/29/13,33903,54.49042
12/30/13,6993,3.324951
12/31/13,2585,16.639046
1/1/14,2991,17.108181
1/2/14,4482,12.668491
1/3/14,767,2.3543708
1/4/14,927,8.89429
1/5/14,2330,52.15531
1/6/14,9754,12.677813
1/7/14,6116,5.3580737
1/8/14,3103,11.105746
1/9/14,4389,9.520631
1/10/14,5977,6.7940598
1/11/14,6718,3.2454154
1/12/14,14444,30.56954
1/13/14,12095,78.35041
1/14/14,10584,5.3381896
1/15/14,3761,404.3764
1/16/14,5664,32.558544
1/17/14,2187,444.91397
1/18/14,7499,16.27803
1/19/14,7431,51.304657
1/20/14,9263,10.580688
1/21/14,2114,0.9121712
1/22/14,3148,7.860952
1/23/14,1963,0.78603303
1/24/14,4547,10.593738
1/25/14,15520,66.632614
1/26/14,25554,11.3045845
1/27/14,2569,55.3796
1/28/14,3757,1.9728497
1/29/14,10416,418.76486
1/30/14,4332,431.09283
1/31/14,8883,8.436962
2/1/14,8185,39.286118
2/2/14,2394,53.923733
2/3/14,10369,14.383472
2/4/14,9420,5.3065
2/5/14,9684,31.810415
2/6/14,11996,12.68589
2/7/14,6511,61.15151
2/8/14,4370,9.22051
2/9/14,5407,60.402756
2/10/14,5997,412.727
2/11/14,1346,439.73486
2/12/14,2089,0.9165208
2/13/14,1543,5.3878994
2/14/14,8070,23.558
2/15/14,5388,12.911448
2/16/14,4624,39.49987
2/17/14,11325,16.502344
2/18/14,6988,3.2323668
2/19/14,3732,51.684937
2/20/14,8226,7.39741
2/21/14,9913,4.529787
2/22/14,16846,77.33322
2/23/14,10752,41.816338
2/24/14,14153,24.350248
2/25/14,9150,61.35159
2/26/14,11686,65.97831
2/27/14,9263,40.67985
2/28/14,4495,11.028075
